CustomerID,HomeOwner,MaritalStatus,NumCarsOwned,NumChildren
5000,Y,N,2,0
5004,Y,N,2,0
5008,Y,N,2,0
5012,Y,N,2,0
5016,Y,N,2,0
5020,Y,N,2,0
5024,Y,N,2,0
5028,Y,N,2,0
5032,Y,N,2,0
5036,Y,N,2,0
5040,Y,N,2,0
5044,Y,N,2,0
5048,Y,N,2,0
5052,Y,N,2,0
5056,Y,N,2,0
5060,Y,N,2,0
5064,Y,N,2,0
5068,Y,N,2,0
5072,Y,N,2,0
5076,Y,N,2,0
5080,Y,N,2,0
5084,Y,N,2,0
5088,Y,N,2,0
5092,Y,N,2,0
5096,Y,N,2,0
5100,Y,N,2,0
5104,Y,N,2,0
5108,Y,N,2,0
5112,Y,N,2,0
5116,Y,N,2,0
5120,Y,N,2,0
5124,Y,N,2,0
5128,Y,N,2,0
5132,Y,N,2,0
5136,Y,N,2,0
5140,Y,N,2,0
5144,Y,N,2,0
5148,Y,N,2,0
5152,Y,N,2,0
5156,Y,N,2,0
5160,Y,N,2,0
5164,Y,N,2,0
5168,Y,N,2,0
5172,Y,N,2,0
5176,Y,N,2,0
5180,Y,N,2,0
5184,Y,N,2,0
5188,Y,N,2,0
5192,Y,N,2,0
5196,Y,N,2,0
5200,Y,N,2,0
5204,Y,N,2,0
5208,Y,N,2,0
5212,Y,N,2,0
5216,Y,N,2,0
5220,Y,N,2,0
5224,Y,N,2,0
5228,Y,N,2,0
5232,Y,N,2,0
5236,Y,N,2,0
5240,Y,N,2,0
5244,Y,N,2,0
5248,Y,N,2,0
5252,Y,N,2,0
5256,Y,N,2,0
5260,Y,N,2,0
5264,Y,N,2,0
5268,Y,N,2,0
5272,Y,N,2,0
5276,Y,N,2,0
5280,Y,N,2,0
5284,Y,N,2,0
5288,Y,N,2,0
5292,Y,N,2,0
5296,Y,N,2,0
5300,Y,N,2,0
5304,Y,N,2,0
5308,Y,N,2,0
5312,Y,N,2,0
5316,Y,N,2,0
5320,Y,N,2,0
5324,Y,N,2,0
5328,Y,N,2,0
5332,Y,N,2,0
5336,Y,N,2,0
5340,Y,N,2,0
5344,Y,N,2,0
5348,Y,N,2,0
5352,Y,N,2,0
5356,Y,N,2,0
5360,Y,N,2,0
5364,Y,N,2,0
